 (1.000000000000000056e-01+0.000000000000000000e+00j), (7.509999999999999787e+00+0.000000000000000000e+00j), (4.883428090168542846e-01+0.000000000000000000e+00j)
 (1.000000000000000056e-01+0.000000000000000000e+00j), (7.610000000000000320e+00+0.000000000000000000e+00j), (4.884771045453487615e-01+0.000000000000000000e+00j)
 (1.000000000000000056e-01+0.000000000000000000e+00j), (7.709999999999999964e+00+0.000000000000000000e+00j), (4.886083417252791161e-01+0.000000000000000000e+00j)
 (1.000000000000000056e-01+0.000000000000000000e+00j), (7.810000000000000497e+00+0.000000000000000000e+00j), (4.887366238283149533e-01+0.000000000000000000e+00j)
 (1.000000000000000056e-01+0.000000000000000000e+00j), (7.910000000000000142e+00+0.000000000000000000e+00j), (4.888620495300521895e-01+0.000000000000000000e+00j)
 (1.000000000000000056e-01+0.000000000000000000e+00j), (8.009999999999999787e+00+0.000000000000000000e+00j), (4.889847131639593059e-01+0.000000000000000000e+00j)
 (1.000000000000000056e-01+0.000000000000000000e+00j), (8.109999999999999432e+00+0.000000000000000000e+00j), (4.891047049529773649e-01+0.000000000000000000e+00j)
 (1.000000000000000056e-01+0.000000000000000000e+00j), (8.210000000000000853e+00+0.000000000000000000e+00j), (4.892221112359522728e-01+0.000000000000000000e+00j)
 (1.000000000000000056e-01+0.000000000000000000e+00j), (8.310000000000000497e+00+0.000000000000000000e+00j), (4.893370155286507206e-01+0.000000000000000000e+00j)
 (1.000000000000000056e-01+0.000000000000000000e+00j), (8.410000000000000142e+00+0.000000000000000000e+00j), (4.894494952891829676e-01+0.000000000000000000e+00j)
